ID,x(km),y(km),z(km)
PG01,13992.39017,-3987.45405,21930.39846
PG01,14581.40807,-1494.739422,21889.10726
PG01,15299.06226,932.088558,21461.84196
PG01,16124.86162,3245.120965,20657.39271
PG01,17031.09423,5401.426815,19491.22945
PG01,17983.95695,7364.505812,17985.12102
PG01,18944.92716,9105.465354,16166.64248
PG01,19872.31606,10603.88122,14068.58721
PG01,20722.93717,11848.31579,11728.30176
PG01,21453.82171,12836.48267,9186.961393
PG01,22023.91323,13575.06074,6488.803893
PG01,22395.67725,14079.174,3680.338045
PG01,22536.56721,14371.56564,809.541921
PG01,22420.29581,14481.50437,-2074.935819
PG01,22027.8692,14443.46946,-4924.560089
PG01,21348.35157,14295.66662,-7691.669352
PG01,20379.3375,14078.43096,-10330.20346
PG01,19127.11998,13832.57531,-12796.39283
PG01,17606.55211,13597.74207,-15049.40382
PG01,15840.61017,13410.81589,-17051.93579
PG01,13859.67505,13304.45085,-18770.7664
PG01,11700.55754,13305.7623,-20177.24162
PG01,9405.300581,13435.2273,-21247.70722
PG01,7019.79846,13705.83189,-21963.87822
PG01,4592.278604,14122.49519,-22313.14266
PG01,2171.69632,14681.79265,-22288.79517
PG01,-193.903679,15371.99116,-21890.19591
PG01,-2459.003099,16173.39928,-21122.84961
PG01,-4582.146676,17059.0257,-19998.39932
PG01,-6527.344045,17995.52799,-18534.52977
PG01,-8265.284121,18944.42382,-16754.77522
PG01,-9774.313906,19863.52566,-14688.2278
PG01,-11041.1403,20708.55093,-12369.14376
PG01,-12061.22214,21434.85021,-9836.446631
PG01,-12838.83026,21999.18968,-7133.129189
PG01,-13386.7655,22361.51821,-4305.558878
PG01,-13725.73821,22486.6477,-1402.694723
PG01,-13883.42709,22345.77551,1524.772445
PG01,-13893.24961,21917.78171,4425.341087
PG01,-13792.8902,21190.24137,7247.662471
PG01,-13622.64468,20160.10284,9941.524743
PG01,-13423.64943,18833.99658,12458.83341
PG01,-13236.07101,17228.15523,14754.5628
PG01,-13097.335,15367.94347,16787.65293
PG01,-13040.47243,13287.01436,18521.82715
PG01,-13092.65724,11026.12648,19926.30811
PG01,-13273.99971,8631.672578,20976.41313
PG01,-13596.64829,6153.983623,21654.01368
PG01,-14064.23814,3645.482418,21947.84913
PG01,-14671.7074,1158.766947,21853.68931
PG01,-15405.4856,-1255.294423,21374.34608
PG01,-16244.04106,-3549.376092,20519.53845
PG01,-17158.75887,-5681.343001,19305.62041
PG01,-18115.10668,-7615.668678,17755.18386
PG01,-19074.035,-9324.571201,15896.55185
PG01,-19993.55016,-10788.82838,13763.17914
PG01,-20830.39328,-11998.24814,11392.97792
PG01,-21541.75673,-12951.78481,8827.586656
PG01,-22086.97097,-13657.30638,6111.599523
PG01,-22429.09782,-14131.03082,3291.772719
PG01,-22536.37285,-14396.66114,416.222413
PG01,-22383.44663,-14484.25872,-2466.372582
PG01,-21952.38399,-14428.90208,-5307.552186
PG01,-21233.38984,-14269.18398,-8059.831082
PG01,-20225.24059,-14045.60351,-10677.42163
PG01,-18935.41034,-13798.91139,-13116.91737
PG01,-17379.8912,-13568.46679,-15337.932
PG01,-15582.71675,-13390.66251,-17303.68967
PG01,-13575.20695,-13297.47172,-18981.56285
PG01,-11394.96084,-13315.16572,-20343.55457
PG01,-9084.631392,-13463.24595,-21366.72164
PG01,-6690.523146,-13753.6273,-22033.53542
PG01,-4261.059081,-14190.10189,-22332.17622
PG01,-1845.167602,-14768.10425,-22256.75701
PG01,509.356192,-15474.78933,-21807.47181
PG01,2757.458861,-16289.42544,-20990.6634
PG01,4858.350127,-17184.09347,-19818.80512
PG01,6776.88224,-18124.67333,-18310.39154
PG01,8484.734987,-19072.08809,-16489.73295
PG01,9961.359057,-19983.76569,-14386.65005
PG01,11194.6374,-20815.26868,-12036.06608
PG01,12181.2331,-21522.03383,-9477.496154
PG01,12926.6032,-22061.15664,-6754.435722
PG01,13444.67007,-22393.15094,-3913.653415
PG01,13757.15587,-22483.61188,-1004.396747
PG01,13892.5999,-22304.71164,1922.477013
PG01,13885.093,-21836.46116,4815.42892
PG01,13772.77696,-21067.67974,7623.206057
PG01,13596.16902,-19996.62466,10295.82663
PG01,13396.38102,-18631.24787,12785.55807
PG01,13213.30963,-16989.06262,15047.86266
PG01,13083.87659,-15096.62102,17042.28503
PG01,13040.39695,-12988.62165,18733.25727
PG01,13109.14781,-10706.68409,20090.7996
PG01,13309.20081,-8297.842824,21091.09793
PG01,13651.56945,-5812.826185,21716.94408
